koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_impact,koi_model_snr,koi_steff,koi_slogg,ra,dec
2,0.0,0,1,0,1.268,112.6,6017.0,4.22,290.84369,37.728828
2,0.0,0,1,1,1.215,38.2,5927.0,4.409,291.84891,37.713501
1,1.0,0,0,0,0.238,38.9,5519.0,4.35,291.43997,37.905659
1,1.0,0,0,0,0.838,50.8,5653.0,4.656,290.87051,38.273628
2,0.0,0,1,1,1.258,299.7,5255.0,4.678,290.99689,38.28492
0,1.0,0,0,0,0.92,183.6,5988.0,4.541,291.28195,38.241669
1,1.0,0,0,0,0.556,35.2,3950.0,4.754,286.07913,39.27832
1,1.0,0,0,0,0.013,26.0,3950.0,4.754,286.07913,39.27832
1,0.952,0,0,0,0.95,17.1,5854.0,4.406,300.86398,44.337551
1,0.994,0,0,0,0.708,15.9,3950.0,4.754,286.07913,39.27832
1,1.0,0,0,0,0.524,370.8,5557.0,4.592,294.65524,39.308361
1,0.999,0,0,0,0.4,32.1,5395.0,4.615,294.71063,39.52174
1,1.0,0,0,0,0.076,799.7,5539.0,4.322,293.87192,38.422939
0,1.0,0,0,0,0.458,340.5,5710.0,4.492,293.81619,38.563568
2,0.0,1,0,1,1.175,14.2,5657.0,4.567,293.94116,38.601101
0,1.0,0,0,0,0.024,53.9,5349.0,4.526,290.33362,38.72823
2,0.053,0,1,0,0.281,636.8,5627.0,4.359,287.69675,38.886452
1,1.0,0,0,0,0.379,138.8,5485.0,4.556,285.28363,38.947281
1,0.95,0,0,0,0.646,14.4,5854.0,4.406,300.86398,44.337551
1,0.745,0,0,0,0.224,347.2,5485.0,4.556,285.28363,38.947281
1,0.4808294015396076,0,0,0,0.3619,11.6,5485.0,4.556,285.28363,38.947281
2,0.0,0,0,1,1.225,38.8,5663.0,4.53,286.92639,38.921631
2,0.0,0,0,1,0.014,48.5,4667.0,4.578,287.74881,38.92955
1,1.0,0,0,0,0.514,1009.3,5934.0,4.491,285.21381,39.027481
0,1.0,0,0,0,0.003,70.6,5170.0,4.574,287.09399,39.060719
1,1.0,0,0,0,0.26,78.5,4905.0,4.544,289.31543,39.153278
1,1.0,0,0,0,0.466,71.6,3950.0,4.754,286.07913,39.27832
2,0.0,0,1,1,1.255,64.9,5926.0,4.506,295.37805,40.493401
1,1.0,0,0,0,0.08,46.1,5775.0,4.405,290.46176,40.562462
1,1.0,0,0,0,0.529,50.6,5847.0,4.191,297.02826,48.208611
1,0.998,0,0,0,0.949,28.5,5775.0,4.405,290.46176,40.562462
1,1.0,0,0,0,0.911,39.7,5775.0,4.405,290.46176,40.562462
1,0.99,0,0,0,0.12,1996.7,5150.0,4.572,290.58173,40.5774
0,1.0,0,0,0,0.934,76.8,5509.0,4.482,285.92001,39.624828
1,1.0,0,0,0,0.517,113.2,5973.0,4.439,294.4899,39.771439
1,1.0,0,0,0,0.416,27.5,3747.0,4.728,283.86639,39.898079
1,0.995,0,0,0,0.888,17.9,3747.0,4.728,283.86639,39.898079
1,1.0,0,0,0,0.573,56.4,3692.0,4.753,288.81201,40.033401
2,0.0,0,1,0,0.501,1300.0,5575.0,4.521,294.14789,40.055538
0,0.0,0,0,0,1.28,296.9,6463.0,4.5,295.11371,40.071171
2,0.0,0,1,1,1.121,138.2,5514.0,4.569,291.06152,50.265129
1,0.992,0,0,0,0.173,107.4,5847.0,4.191,297.02826,48.208611
1,1.0,0,0,0,0.053,37.8,5601.0,4.41,294.77686,40.15374
