koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_impact,koi_model_snr,koi_steff,koi_slogg,ra,dec
1,1.0,0,0,0,0.932,40.2,5397.0,4.543,292.38855,42.233261
1,1.0,0,0,0,0.828,21.0,6237.0,4.136,288.10086,50.033718
1,1.0,0,0,0,0.969,17.4,4868.0,4.6,289.55301,41.297852
0,1.0,0,0,0,0.951,20.3,5223.0,4.505,281.04916,43.322601
0,1.0,0,0,0,0.307,26.3,5151.0,4.592,294.59656,46.048302
1,1.0,0,0,0,0.901,23.1,4442.0,4.619,281.64774,48.271049
1,0.997,0,0,0,0.851,28.6,6173.0,4.408,291.24518,37.75906
0,1.0,0,0,0,0.459,16.1,4676.0,2.577,295.34222,48.856152
2,0.0,0,0,1,0.341,20.6,5782.0,4.594,297.86011,46.386261
1,1.0,0,0,0,0.401,18.9,5467.0,4.578,283.74142,49.067982
1,1.0,0,0,0,0.367,21.0,5226.0,4.606,290.99536,43.243938
2,0.001,1,0,1,1.198,43.3,6248.0,4.442,293.81381,38.926201
1,1.0,0,0,0,0.291,20.4,6063.0,4.061,282.49222,43.980209
2,0.0,0,1,1,1.027,40.6,5385.0,3.639,296.58734,50.490761
2,0.0,0,0,1,1.201,45.6,6197.0,4.406,291.85898,41.728489
0,0.998,0,0,0,0.92,14.5,5984.0,4.521,296.74643,43.045441
0,0.984,0,0,0,0.917,48.5,6525.0,3.772,297.84125,42.118252
2,0.0,0,1,0,1.242,52.5,6529.0,3.657,284.54184,48.961281
0,0.0,0,0,0,1.226,7.7,5440.0,4.617,299.7915,44.281231
1,1.0,0,0,0,0.804,73.2,5307.0,4.572,295.8941,42.380451
1,0.96,0,0,0,0.771,11.4,5307.0,4.572,295.8941,42.380451
2,0.006,0,1,0,1.118,86.1,5780.0,4.438,290.14175,37.741367
2,0.0,1,0,1,0.028,40.9,5718.0,3.966,294.25339,42.062382
2,0.0,0,1,1,0.281,43.0,5204.0,4.515,298.03104,42.052479
1,1.0,0,0,0,0.151,25.3,5480.0,4.26,290.57672,39.95689
0,0.899,0,0,0,0.06,10.5,5480.0,4.26,290.57672,39.95689
2,0.0,0,1,1,0.594,21.5,6143.0,4.403,289.95581,38.463631
2,0.003,0,0,1,0.683,23.3,6003.0,4.507,293.60394,39.388599
1,0.797,0,0,0,0.309,61.2,5587.0,4.091,293.73282,41.900829
1,1.0,0,0,0,0.009,16.5,5713.0,4.541,291.5481,50.35331
0,0.983,0,0,0,0.001,14.4,5648.0,4.464,287.84833,39.358429
0,0.999,0,0,0,0.704,20.9,5918.0,4.544,300.73239,44.107059
2,0.0,0,1,1,0.391,19.2,6349.0,4.422,288.84711,47.022911
2,0.0,0,1,1,0.029,20.9,5546.0,4.575,285.33636,46.31237
1,1.0,0,0,0,0.129,14.0,5708.0,4.521,288.11606,42.440418
2,0.0,0,0,1,0.001,65.2,4999.0,4.523,298.55927,40.604858
2,0.0,0,0,1,1.181,47.4,6329.0,4.137,291.74017,38.014912
0,1.0,0,0,0,0.046,110.9,5613.0,4.581,294.53934,43.60778
2,0.0,0,0,0,0.985,21.2,8173.0,3.744,284.6232,39.182411
2,0.0,0,1,1,0.931,58.0,3468.0,4.931,300.08737,46.200695
0,1.0,0,0,0,0.808,69.3,4658.0,4.632,293.29837,43.55587
0,1.0,0,0,0,0.7,14.2,5808.0,4.522,292.61511,42.764252
2,0.0,0,0,0,0.662,27.3,5996.0,3.87,284.36902,40.718491
2,0.0,0,0,0,0.744,36.0,5729.0,4.058,281.2738,47.774399
1,1.0,0,0,0,0.432,21.4,5523.0,4.506,291.02859,43.91367
1,0.987,0,0,0,0.797,26.7,5332.0,4.083,293.52756,41.111439
1,0.995,0,0,0,0.033,26.9,5896.0,4.518,289.31149,51.320862
2,0.0,0,0,0,0.989,55.5,5402.0,4.581,292.77954,47.452099
2,0.0,0,1,1,0.508,19.8,5881.0,4.516,293.09113,38.3521
2,0.0,1,0,1,0.626,34.5,6321.0,4.417,293.07663,46.21801
2,0.0,0,1,1,0.551,18.0,2661.0,5.283,289.84772,44.185783
1,0.993,0,0,0,0.56,12.6,5305.0,4.489,286.17053,43.008911
2,0.0,0,0,1,1.209,91.9,5783.0,4.539,298.55576,41.034061
1,0.999,0,0,0,0.245,15.8,6137.0,4.471,287.53577,48.727791
1,0.952,0,0,0,0.032,77.3,5758.0,4.072,285.31125,47.848564
0,0.985,0,0,0,0.018,13.2,5591.0,4.559,295.84747,40.006721
0,0.977,0,0,0,0.688,17.1,5204.0,4.525,294.8418,39.91888
0,1.0,0,0,0,0.801,14.8,5808.0,4.522,292.61511,42.764252
1,1.0,0,0,0,0.58,106.7,5788.0,4.122,291.38599,41.990269
2,0.354,0,1,0,0.594,721.9,6796.0,3.88,291.77182,41.098068
1,1.0,0,0,0,0.016,78.0,4137.0,4.658,294.23764,45.197105
0,1.0,0,0,0,0.917,48.0,5594.0,4.52,288.17789,47.36668
0,1.0,0,0,0,0.857,20.8,5508.0,4.569,293.93347,40.59074
2,0.0,0,1,1,1.276,30.0,7044.0,4.337,298.41934,40.440819
1,1.0,0,0,0,0.232,20.1,5032.0,4.511,284.83841,42.070431
1,0.933,0,0,0,0.305,28.2,5416.0,3.951,296.27771,46.89986
1,0.992,0,0,0,0.692,17.7,5416.0,3.951,296.27771,46.89986
2,0.0,0,0,1,0.323,29.0,6223.0,4.01,291.00287,44.899452
1,0.993,0,0,0,0.406,23.2,4817.0,4.499,289.53882,41.892818
0,1.0,0,0,0,0.535,20.0,5865.0,4.163,289.36441,41.53323
1,0.999,0,0,0,0.034,53.9,6075.0,4.264,285.19,46.027962
1,0.989,0,0,0,0.325,35.3,6443.0,3.74,300.34406,45.623219
2,0.0,0,1,1,0.792,22.8,5827.0,3.74,282.31351,46.419399
2,0.0,0,0,1,0.231,22.3,4330.0,4.64,299.93927,45.83321
2,0.0,0,0,1,0.489,13.1,5946.0,4.444,294.37619,38.75787
1,0.996,0,0,0,0.887,30.0,6133.0,4.084,295.37738,39.048031
2,0.001,0,0,1,0.745,14.6,7048.0,3.797,300.66025,45.853519
1,0.901,0,0,0,0.132,15.6,6052.0,4.183,297.94476,42.191879
0,1.0,0,0,0,0.063,62.8,4735.0,4.627,289.10992,39.68539
2,0.0,0,1,0,0.197,45.6,5676.0,4.571,291.44766,38.149281
1,0.998,0,0,0,0.876,36.9,4498.0,4.661,291.46866,40.343849
1,0.988,0,0,0,0.918,22.9,4498.0,4.661,291.46866,40.343849
1,0.992,0,0,0,0.871,29.1,4498.0,4.661,291.46866,40.343849
0,0.606,0,0,0,0.04,37.1,5974.0,3.859,295.66913,38.795841
1,0.996,0,0,0,0.909,20.2,4583.0,4.606,287.00909,46.796101
2,0.0,0,0,1,0.45,62.8,5929.0,4.055,285.68408,38.262817
2,0.0,0,0,1,0.819,16.9,6170.0,4.308,295.32401,40.902191
1,0.975,0,0,0,0.243,21.6,5874.0,4.252,284.04233,41.699139
1,0.991,0,0,0,0.462,16.6,5213.0,4.434,283.56531,46.904251
0,0.961,0,0,0,0.403,12.5,6002.0,3.841,298.21527,45.406891
1,1.0,0,0,0,0.49,20.0,4648.0,4.631,288.53854,40.87711
0,0.997,0,0,0,0.118,22.5,4380.0,4.71,287.82639,40.696602
1,1.0,0,0,0,0.03,18.2,4901.0,4.544,296.99655,49.25642
0,0.804,0,0,0,0.325,11.2,6052.0,4.183,297.94476,42.191879
2,0.001,0,0,1,0.405,19.7,5423.0,4.502,290.47311,37.9062
2,0.0,0,0,0,0.528,20.3,5982.0,4.493,293.6076,42.058998
1,0.803,0,0,0,0.001,47.9,5758.0,4.072,285.31125,47.848564
1,0.887,0,0,0,0.25,19.7,5011.0,4.484,296.21518,39.52705
1,1.0,0,0,0,0.696,53.6,4818.0,4.481,295.82144,46.053028
0,1.0,0,0,0,0.687,25.8,4818.0,4.481,295.82144,46.053028
1,1.0,0,0,0,0.16,48.7,6214.0,4.238,289.34732,44.208511
0,1.0,0,0,0,1.178,13.2,5174.0,4.483,294.54373,40.313862
0,0.996,0,0,0,0.775,54.6,7029.0,3.806,284.41592,48.65802
0,0.992,0,0,0,0.851,27.0,7029.0,3.806,284.41592,48.65802
1,0.844,0,0,0,0.259,23.7,5779.0,4.44,283.74582,48.373432
1,0.995,0,0,0,0.564,21.3,5827.0,4.471,291.57422,38.655949
1,0.941,0,0,0,0.448,26.5,5884.0,4.408,296.23282,42.47279
1,0.998,0,0,0,0.025,26.7,5422.0,4.481,288.15671,41.877972
0,0.977,0,0,0,0.028,99.9,5177.0,3.216,296.7236,44.853142
1,1.0,0,0,0,0.784,24.3,6995.0,3.925,295.15219,49.587601
1,0.996,0,0,0,0.018,17.4,5727.0,4.328,292.19971,42.046089
1,0.936,0,0,0,0.03,15.5,5727.0,4.328,292.19971,42.046089
1,1.0,0,0,0,0.512,69.7,6075.0,4.264,285.19,46.027962
1,1.0,0,0,0,0.338,19.8,3941.0,4.713,285.06491,41.554871
2,0.0,1,0,1,0.967,72.0,6185.0,4.472,297.58987,40.60194
2,0.052,0,0,1,0.14,21.9,6341.0,4.409,287.69272,46.366928
1,0.997,0,0,0,0.242,17.2,5696.0,4.247,282.63138,46.48111
0,0.988,0,0,0,0.675,26.3,6461.0,3.779,281.69159,42.397549
0,0.999,0,0,0,0.944,15.7,5637.0,4.492,289.91742,40.828606
2,0.0,0,0,1,1.139,33.1,5028.0,3.289,297.2952,42.011681
1,0.95,0,0,0,0.015,64.6,5837.0,4.305,298.83588,40.29314
1,1.0,0,0,0,0.05,50.4,5223.0,4.593,291.61188,42.115971
0,1.0,0,0,0,0.79,29.9,4297.0,4.725,297.00354,44.775089
2,0.0,0,0,1,0.934,10.2,5860.0,4.489,299.59561,40.622822
0,1.0,0,0,0,0.287,22.9,4906.0,4.511,287.72565,48.651379
0,1.0,0,0,0,0.942,21.6,4701.0,4.54,286.3718,43.691921
2,0.0,0,1,1,0.48,35.9,5591.0,4.559,295.77368,43.671951
1,0.999,0,0,0,0.531,52.5,6007.0,4.232,297.01883,50.408981
1,1.0,0,0,0,0.703,29.3,4523.0,4.636,280.51175,44.159351
1,1.0,0,0,0,0.914,71.6,6204.0,4.269,290.49512,38.795479
1,1.0,0,0,0,0.824,21.9,6204.0,4.269,290.49512,38.795479
1,1.0,0,0,0,0.746,88.0,6967.0,3.864,295.6088,38.735741
1,0.995,0,0,0,0.009,120.1,5638.0,4.359,293.67532,41.295361
1,1.0,0,0,0,0.005,102.2,5767.0,4.538,287.08997,41.373878
2,0.0,0,1,1,0.976,59.9,5857.0,4.633,289.1702,50.627621
2,0.0,0,0,1,0.748,37.0,6102.0,4.457,289.21481,50.650921
2,0.0,0,0,1,1.19,7.4,6283.0,4.372,296.93594,44.161045
1,1.0,0,0,0,0.31,51.6,5703.0,4.498,289.88065,51.277081
2,0.004,0,1,0,0.189,2707.7,6061.0,4.401,290.99692,37.199219
2,0.0,0,1,1,1.217,102.8,5657.0,4.121,290.27777,37.78933
2,0.0,0,0,1,0.732,13.9,6543.0,3.782,291.534,38.816261
0,0.946,0,0,0,0.895,11.9,5646.0,4.464,283.33533,47.208832
1,0.603,0,0,0,0.403,16.0,5888.0,4.061,282.69995,45.42577
1,0.996,0,0,0,0.004,15.4,3808.0,4.734,290.51019,38.743542
2,0.0,0,0,1,0.755,21.6,6208.0,4.454,287.19815,38.42897
0,0.994,0,0,0,0.021,16.5,5201.0,4.447,297.88464,48.00145
2,0.0,0,0,1,0.095,15.4,5258.0,4.514,300.93738,45.49007
2,0.0,1,0,0,0.004,19.4,5258.0,4.514,300.93738,45.49007
0,1.0,0,0,0,0.106,13.3,5696.0,4.519,291.16437,45.318291
1,1.0,0,0,0,0.658,167.6,5862.0,4.05,289.08606,41.562958
0,1.0,0,0,0,0.241,12.2,5269.0,4.491,286.14804,43.369202
0,0.786,0,0,0,0.243,5.2,5767.0,4.538,287.08997,41.373878
1,1.0,0,0,0,0.246,79.7,4783.0,4.602,297.354,41.300049
1,1.0,0,0,0,0.425,35.6,5313.0,4.571,299.31955,41.38464
1,1.0,0,0,0,0.914,39.0,6023.0,4.423,293.18033,41.61776
1,1.0,0,0,0,0.026,350.6,5576.0,4.065,283.25549,48.355232
1,0.755,0,0,0,0.02,135.4,5559.0,4.502,297.48691,49.623451
0,0.953,0,0,0,0.838,384.0,6201.0,3.616,291.66418,38.619255
1,0.998,0,0,0,0.04,324.3,5733.0,4.442,284.47217,39.911812
2,0.0,0,1,0,0.715,2217.1,9244.0,4.159,290.85458,42.086922
1,1.0,0,0,0,0.622,27.4,6070.0,4.157,281.91568,42.775509
2,0.0,0,0,1,0.524,20.2,5911.0,3.861,289.32925,42.655811
0,0.998,0,0,0,1.193,14.6,5743.0,4.553,294.96811,49.556511
1,0.941,0,0,0,0.016,17.8,6161.0,4.454,286.36157,42.963921
1,0.939,0,0,0,0.026,15.4,5799.0,4.161,292.18011,49.20248
1,0.999,0,0,0,0.494,31.0,5903.0,4.304,288.45065,40.245327
0,0.98,0,0,0,0.256,11.9,5893.0,4.395,296.85925,50.560162
0,0.614,0,0,0,0.725,15.9,3729.0,4.733,292.73764,42.014832
0,0.929,0,0,0,0.106,13.5,6347.0,4.464,290.88831,51.248169
2,0.003,0,0,1,0.163,15.4,6555.0,4.374,297.42636,43.816502
1,0.996,0,0,0,0.984,14.3,5812.0,4.329,290.99167,40.229321
0,1.0,0,0,0,0.213,13.1,5788.0,4.442,292.57336,46.36684
1,1.0,0,0,0,0.833,36.9,6023.0,4.423,293.18033,41.61776
0,1.0,0,0,0,0.895,52.5,6212.0,4.309,293.92972,41.602871
2,0.001,0,0,1,0.35,21.7,4579.0,4.596,288.82303,42.542728
2,0.4808294015396076,0,0,0,0.8526,42.7,4679.0,4.627,288.9256,42.531509
1,1.0,0,0,0,0.359,54.8,6156.0,4.284,296.46732,42.598785
1,1.0,0,0,0,0.571,24.1,6070.0,4.157,281.91568,42.775509
1,0.999,0,0,0,0.391,112.2,6143.0,4.039,291.38776,44.52911
1,0.999,0,0,0,0.538,40.2,5578.0,4.518,289.22617,49.548199
1,0.989,0,0,0,0.748,32.9,6143.0,4.039,291.38776,44.52911
2,0.0,0,1,0,0.959,49.7,5134.0,3.611,299.67615,40.856491
1,0.006,0,0,0,0.471,150.4,5819.0,4.334,299.12244,41.86676
2,0.0,0,0,1,0.97,17.3,5585.0,4.339,296.78445,43.619011
0,0.963,0,0,0,0.317,16.1,5633.0,4.296,298.40137,44.838181
0,1.0,0,0,0,0.434,15.0,5745.0,3.939,294.54041,44.190979
2,0.0,0,0,1,0.447,12.4,6242.0,4.442,292.97775,38.42078
0,0.828,0,0,0,0.46,14.1,5772.0,4.528,295.58649,49.666851
1,0.983,0,0,0,0.929,15.1,6006.0,4.403,281.11234,43.227791
1,0.982,0,0,0,0.889,14.7,6006.0,4.403,281.11234,43.227791
1,1.0,0,0,0,0.886,13.0,6006.0,4.403,281.11234,43.227791
2,0.0,0,0,1,1.174,28.1,6091.0,4.487,295.2374,46.81963
2,0.0,0,1,1,0.914,85.0,5780.0,4.438,293.26605,45.350697
1,0.976,0,0,0,0.035,67.5,5862.0,4.05,289.08606,41.562958
1,0.998,0,0,0,0.115,46.4,6156.0,4.284,296.46732,42.598785
1,1.0,0,0,0,0.785,81.8,5188.0,4.547,282.13553,43.039101
1,1.0,0,0,0,0.51,76.8,5188.0,4.547,282.13553,43.039101
1,1.0,0,0,0,0.545,112.8,3846.0,4.738,290.3815,43.292988
1,1.0,0,0,0,0.32,57.4,3846.0,4.738,290.3815,43.292988
1,0.917,0,0,0,0.379,11.5,5576.0,4.065,283.25549,48.355232
0,1.0,0,0,0,0.023,85.8,5731.0,4.451,292.23492,42.909458
1,0.992,0,0,0,0.004,92.9,5851.0,4.302,290.62524,44.873959
0,0.4808294015396076,0,0,0,0.1667,136.4,5755.0,4.101,291.2012,51.144279
2,0.0,0,1,1,1.902,99.6,6692.0,4.383,288.32147,51.726601
2,0.0,0,1,1,0.853,53.1,6692.0,4.383,288.32147,51.726601
1,0.0,0,0,0,0.169,577.1,5779.0,4.491,285.57397,38.400902
0,0.972,0,0,0,0.53,11.5,5772.0,4.528,295.58649,49.666851
2,0.001,0,0,1,0.389,31.1,6429.0,3.989,282.25177,43.493759
1,0.958,0,0,0,0.016,13.8,5382.0,4.571,294.34164,46.49876
1,0.998,0,0,0,0.061,15.2,5094.0,4.45,284.92859,42.42231
1,0.894,0,0,0,0.983,12.2,5903.0,4.304,288.45065,40.245327
2,0.0,0,0,1,0.569,14.5,4228.0,4.618,297.85632,40.218102
1,0.998,0,0,0,0.894,14.3,6140.0,4.455,292.54575,49.416969
0,0.999,0,0,0,0.97,12.8,5116.0,4.591,296.28064,50.755669
1,0.877,0,0,0,0.065,12.8,5866.0,4.473,295.34967,45.114552
2,0.0,1,0,0,1.138,14.0,5766.0,4.404,298.71362,46.903118
1,0.999,0,0,0,0.061,22.0,3846.0,4.738,290.3815,43.292988
0,1.0,0,0,0,0.001,90.8,4894.0,4.637,297.27188,43.333309
1,1.0,0,0,0,0.009,123.2,5620.0,4.333,282.39194,43.889351
1,1.0,0,0,0,0.004,50.9,5620.0,4.333,282.39194,43.889351
0,1.0,0,0,0,0.826,43.6,5620.0,4.333,282.39194,43.889351
1,0.4808294015396076,0,0,0,0.6883,366.1,5779.0,4.491,285.57397,38.400902
0,1.0,0,0,0,0.925,30.1,5302.0,3.768,296.51059,42.54744
1,0.4808294015396076,0,0,0,0.0779,48.9,5779.0,4.491,285.57397,38.400902
2,0.0,0,1,1,1.157,33.0,6013.0,4.035,292.6933,37.705513
2,0.073,0,0,1,0.163,49.1,6078.0,4.094,292.05676,37.776192
0,1.0,0,0,0,0.429,12.9,6078.0,4.094,292.05676,37.776192
0,0.929,0,0,0,0.454,11.9,5076.0,4.598,291.6756,48.762562
2,0.0,0,0,0,0.463,16.5,5547.0,4.571,294.96246,46.676289
0,1.0,0,0,0,0.922,11.0,5300.0,4.385,298.75836,41.159882
0,0.985,0,0,0,0.739,11.1,5300.0,4.385,298.75836,41.159882
2,0.0,0,0,1,0.593,15.6,6242.0,4.432,289.09106,40.751122
0,1.0,0,0,0,0.253,17.8,5868.0,4.53,293.82663,38.856621
1,0.989,0,0,0,0.403,14.1,6460.0,4.267,297.64227,49.594978
1,0.972,0,0,0,0.3,12.4,6217.0,4.437,285.36624,49.044868
0,1.0,0,0,0,0.583,14.2,5874.0,4.338,298.57687,44.621609
0,0.986,0,0,0,0.367,11.4,5874.0,4.338,298.57687,44.621609
1,0.476,0,0,0,0.277,35.0,5862.0,4.05,289.08606,41.562958
1,0.999,0,0,0,0.017,92.7,6336.0,4.266,298.81638,43.998039
1,0.987,0,0,0,0.905,46.1,6273.0,4.04,288.15399,44.068821
0,0.998,0,0,0,0.904,286.0,5877.0,3.927,290.11752,44.87294
2,0.0,1,0,1,1.209,46.3,6499.0,4.408,295.94781,44.827831
1,1.0,0,0,0,0.694,97.0,5678.0,4.484,291.84805,44.96822
0,1.0,0,0,0,0.952,380.8,5937.0,4.012,289.73972,44.647419
2,0.0,0,1,1,0.25,66.6,5206.0,4.598,290.70102,38.954681
2,0.0,0,1,1,0.107,64.7,5509.0,4.487,291.12799,38.914688
2,0.0,0,1,1,1.228,57.0,5211.0,3.715,293.67245,38.985699
1,1.0,0,0,0,0.947,29.3,6007.0,4.178,287.97577,39.087181
1,0.993,0,0,0,0.709,12.2,6007.0,4.178,287.97577,39.087181
0,0.991,0,0,0,0.265,12.2,5641.0,4.554,292.22739,42.451969
1,0.973,0,1,0,0.319,18.1,5343.0,4.538,285.15692,47.873329
2,0.0,0,1,0,0.744,20.4,6115.0,4.462,287.12234,42.70694
0,1.0,0,0,0,0.881,15.1,3720.0,4.764,286.98013,38.165218
2,0.0,0,1,0,0.7351054776654712,259.8950005434192,5706.8232800782525,4.310156613411586,298.36188,41.781109
0,0.761,0,0,0,0.019,11.3,5504.0,4.583,288.21072,42.556808
1,1.0,0,0,0,0.052,16.7,4811.0,4.626,289.69748,43.372089
0,0.988,0,0,0,0.013,14.4,6177.0,3.993,294.71677,45.781269
1,0.998,0,0,0,0.539,16.8,6020.0,4.427,292.65839,49.865189
1,0.98,0,0,0,0.398,12.9,6338.0,4.418,295.52417,49.829552
2,0.0,0,1,0,1.008,2793.4,6095.0,3.894,296.55386,43.543179
1,0.996,0,0,0,0.388,25.2,5678.0,4.484,291.84805,44.96822
2,0.0,0,1,0,6.217,208.2,5780.0,4.438,290.20993,45.251904
1,1.0,0,0,0,0.129,11.2,5423.0,4.542,284.06113,45.506851
2,0.0,0,1,1,0.778,104.8,6280.0,4.098,288.02454,46.30587
2,0.0,0,0,1,0.995,74.3,5731.0,4.005,297.30969,46.449471
2,0.0,0,1,1,0.959,76.4,6573.0,4.2,293.44879,37.722641
2,0.0,0,1,0,0.972,132.7,6581.0,4.138,290.20364,38.374931
2,0.0,0,1,1,1.205,53.6,6407.0,4.48,290.34735,38.377899
1,1.0,0,0,0,0.636,56.7,6049.0,3.769,294.14966,38.458271
1,1.0,0,0,0,0.591,44.1,5411.0,4.477,292.21509,38.548592
1,0.976,0,0,0,0.546,84.9,5680.0,4.414,288.53082,40.942299
2,0.0,1,0,1,0.946,23.0,5514.0,4.569,298.97055,40.382729
0,0.998,0,0,0,0.301,14.2,5612.0,4.566,287.60223,42.075741
1,0.993,0,0,0,0.974,14.2,5635.0,4.117,298.66348,43.89407
1,0.915,0,0,0,0.192,16.6,5952.0,4.41,290.94989,40.605221
0,0.976,0,0,0,0.902,10.9,5569.0,4.521,292.1218,41.927029
0,0.013,0,0,0,0.035,19.7,3421.0,5.014,296.58719,40.722988
1,0.998,0,0,0,0.168,15.2,5886.0,4.345,287.36328,49.45689
1,0.999,0,0,0,0.035,14.9,6231.0,3.976,295.53839,51.202961
0,0.998,0,0,0,0.192,13.1,5836.0,4.316,301.04813,44.037689
2,0.0,0,1,1,0.711,65.8,8308.0,3.861,299.22189,44.180519
2,0.005,0,1,1,0.56,44.1,4751.0,2.52,286.65604,46.783543
2,0.905,0,1,1,0.055,15.3,4751.0,2.52,286.65604,46.783543
1,1.0,0,0,0,0.303,58.6,5945.0,4.402,287.36948,46.768219
1,1.0,0,0,0,0.008,25.5,5945.0,4.402,287.36948,46.768219
2,0.0,0,0,1,1.221,104.3,5779.0,4.308,293.57629,46.775471
1,1.0,0,0,0,0.029,73.6,5951.0,4.319,294.11075,38.710232
2,0.0,1,0,0,1.269,218.3,8491.0,3.853,298.70923,47.840019
1,0.973,0,0,0,0.462,34.3,5951.0,4.319,294.11075,38.710232
1,1.0,0,0,0,0.777,98.2,4538.0,4.607,287.21872,38.862522
0,1.0,0,0,0,0.368,87.3,5687.0,3.973,284.70691,38.936821
0,0.882,0,0,0,0.2,13.6,5988.0,4.507,289.56802,41.771561
0,0.98,0,0,0,0.389,12.5,6217.0,4.375,295.46259,39.16848
0,0.998,0,0,0,0.153,12.7,6075.0,4.486,294.16644,44.886311
0,1.0,0,0,0,0.65,13.2,6137.0,4.418,293.43079,46.692089
0,0.998,0,0,0,0.436,16.4,6122.0,4.471,289.67856,40.249641
2,0.0,0,0,1,0.581,15.9,4763.0,4.738,296.25168,39.18399
1,0.957,0,0,0,0.569,16.3,6256.0,4.269,291.17328,44.921131
2,0.0,0,1,1,0.017,19.1,5986.0,4.461,284.29959,42.604321
1,1.0,0,0,0,0.941,14.2,5808.0,4.178,297.71158,46.768021
0,0.951,0,0,0,0.205,15.7,6035.0,3.745,292.47977,43.227024
1,1.0,0,0,0,0.002,19.6,5900.0,4.509,292.24902,46.164822
2,0.0,0,1,1,1.197,45.9,6024.0,4.523,298.81821,46.94035
1,1.0,0,0,0,0.128,55.1,5973.0,4.386,296.85922,49.162048
1,0.998,0,0,0,0.011,18.2,5973.0,4.386,296.85922,49.162048
1,1.0,0,0,0,0.858,54.2,5548.0,4.038,296.18344,47.358761
1,1.0,0,0,0,0.081,42.7,6156.0,4.331,294.02911,39.051849
2,0.0,0,1,1,1.224,23.4,6171.0,3.668,292.03107,39.24548
1,1.0,0,0,0,0.657,287.8,5648.0,4.472,291.4183,38.672359
2,0.0,0,0,1,1.178,41.9,6517.0,4.265,293.57086,39.25264
0,1.0,0,0,0,1.21,68.0,5940.0,4.199,288.75781,39.350571
2,0.0,0,1,0,0.933,431.6,6075.0,4.486,294.5123,39.462139
2,0.0,0,1,1,0.109,20.7,5089.0,4.559,298.78799,45.77422
1,0.983,0,0,0,0.322,13.5,5680.0,4.414,288.53082,40.942299
1,1.0,0,0,0,0.121,15.5,5595.0,4.581,293.61926,46.413342
1,0.799,0,0,0,0.176,13.3,4563.0,4.704,282.9975,41.678551
0,0.892,0,0,0,0.152,16.1,5520.0,4.572,298.44647,40.624882
2,0.0,0,0,1,0.953,13.3,5815.0,4.54,296.04401,42.454708
0,0.988,0,0,0,1.006,12.3,5159.0,4.508,280.70853,47.32806
0,0.994,0,0,0,0.889,11.7,5159.0,4.508,280.70853,47.32806
1,1.0,0,0,0,0.197,14.3,5792.0,4.547,291.86493,49.32592
0,0.0,0,0,0,0.61,31.0,6020.0,3.922,297.32971,46.136089
1,1.0,0,0,0,0.65,72.0,5914.0,4.396,297.65094,47.39629
1,1.0,0,0,0,0.774,26.8,6534.0,3.973,290.95792,47.406281
2,0.0,0,1,1,0.752,19.5,6134.0,4.396,280.88184,47.564243
2,0.394,0,0,1,0.87,111.3,6629.0,4.132,291.81857,47.675282
2,0.0,0,1,1,0.742,13.1,7004.0,3.854,283.91089,47.787048
1,0.998,0,0,0,0.372,55.2,6206.0,4.159,295.48651,51.0135
0,0.993,0,0,0,0.922,14.8,6046.0,4.158,292.57779,40.667858
0,1.0,0,0,0,0.685,18.1,6313.0,4.228,297.39371,39.829041
0,0.984,0,0,0,0.231,15.2,5850.0,4.297,290.73447,45.297791
2,0.0,0,1,1,0.678,17.6,6218.0,4.404,289.29266,40.270611
0,0.4808294015396076,0,0,0,0.6987,11.2,6089.0,4.527,295.19968,46.832321
0,0.977,0,0,0,0.544,12.2,5383.0,4.528,295.09027,45.081181
0,0.87,0,0,0,0.468,15.7,5383.0,4.528,295.09027,45.081181
1,0.959,0,0,0,0.495,14.7,5911.0,4.519,292.25464,37.97142
2,0.0,1,0,0,0.762,0.8,5000.0,4.708,291.60175,42.86388
1,0.972,0,0,0,0.0,13.6,5296.0,4.586,296.20383,42.777828
2,0.0,0,1,0,0.579,308.1,8347.0,4.231,296.935,44.850269
2,0.0,0,1,1,1.241,37.3,5718.0,4.549,295.21036,46.749321
0,0.99,0,0,0,0.299,13.6,4935.0,4.589,290.88931,42.45966
0,0.968,0,0,0,0.39,13.8,4234.0,4.63,296.61725,41.281189
1,0.893,0,0,0,0.429,11.7,5624.0,4.256,289.28979,40.681671
1,1.0,0,0,0,0.015,41.8,5747.0,4.335,295.68481,47.748081
2,0.0,0,1,1,1.225,400.2,5780.0,4.438,295.91885,41.332432
1,1.0,0,0,0,0.683,48.7,4908.0,4.567,297.97089,47.731682
1,0.999,0,0,0,0.7,15.6,4908.0,4.567,297.97089,47.731682
1,1.0,0,0,0,0.713,71.9,6078.0,4.29,285.88837,47.880379
1,1.0,0,0,0,0.956,35.0,6078.0,4.29,285.88837,47.880379
2,0.0,0,1,0,1.231,16.7,6008.0,4.499,291.78754,42.469528
0,0.989,0,0,0,0.714,13.8,5267.0,4.681,290.22067,41.868721
1,1.0,0,0,0,0.058,17.7,5758.0,4.168,294.86618,48.638981
1,0.984,0,0,0,0.499,16.8,5758.0,4.168,294.86618,48.638981
2,0.0,0,0,1,0.013,18.7,4266.0,4.626,299.03448,47.90485
1,0.997,0,0,0,0.744,19.4,5815.0,4.54,291.40945,38.340019
