kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
4862332,K06463.01,,FALSE POSITIVE,FALSE POSITIVE,0.0020,0,0,1,0,0.890333100,1.1220000e-05,-1.1220000e-05,131.5337000,1.100000e-02,-1.100000e-02,0.3220,0.1580,-0.3220,2.64300,0.47000,-0.47000,1.3410e+02,1.580e+01,-1.580e+01,20.96,9.600e-01,-8.580e+00,5714.0,,,251387.46,51085.51,-178736.62,10.80,1,q1_q17_dr25_tce,4981.00,121.00,-228.00,2.437,0.033,-0.033,18.3740,0.8360,-7.5260,298.161290,39.900970,13.915
4862625,K06464.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,20.000242814,4.7130000e-06,-4.7130000e-06,134.8202100,1.930000e-04,-1.930000e-04,1.0040,0.0320,-0.0360,5.00420,0.01850,-0.01850,1.3138e+04,3.070e+01,-3.070e+01,21.57,6.140e+00,-2.180e+00,746.0,,,73.09,59.38,-20.75,796.50,1,q1_q17_dr25_tce,6373.00,151.00,-189.00,4.438,0.062,-0.188,1.0470,0.2980,-0.1060,298.215090,39.955101,13.718
5393558,K06576.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,10.217121652,3.6000000e-07,-3.6000000e-07,137.2457336,2.920000e-05,-2.920000e-05,0.7860,0.0080,-0.0090,4.35647,0.00062,-0.00062,2.0522e+05,5.420e+01,-5.420e+01,81.10,2.206e+01,-2.207e+01,994.0,,,230.53,183.85,-123.51,3617.50,1,q1_q17_dr25_tce,5931.00,158.00,-193.00,4.196,0.246,-0.164,1.3490,0.3670,-0.3670,299.186770,40.501701,13.752
5397905,K06577.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,0.618060842,5.3940000e-06,-5.3940000e-06,131.6353300,8.460000e-03,-8.460000e-03,0.9440,0.0420,-0.7190,1.89200,0.23100,-0.23100,2.5100e+01,3.200e+00,-3.200e+00,0.51,8.000e-02,-7.000e-02,1854.0,,,2791.09,1445.75,-907.84,9.60,1,q1_q17_dr25_tce,5339.00,160.00,-144.00,4.503,0.099,-0.110,0.7930,0.1280,-0.1050,299.998200,40.550259,13.426
5444392,K06578.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,0.759764419,6.5000000e-08,-6.5000000e-08,131.7927631,7.190000e-05,-7.190000e-05,0.5450,0.0230,-0.0120,5.72501,0.00937,-0.00937,3.9327e+05,2.240e+02,-2.240e+02,138.54,1.931e+01,-3.592e+01,2715.0,,,12833.03,4834.44,-6163.06,1728.10,1,q1_q17_dr25_tce,5807.00,86.00,-78.00,3.930,0.233,-0.078,1.9090,0.2660,-0.4950,290.517400,40.696812,11.378
5456979,K06579.01,,CANDIDATE,CANDIDATE,0.9970,0,0,0,0,2.652808200,3.4330000e-05,-3.4330000e-05,131.5439000,1.340000e-02,-1.340000e-02,0.4340,0.0290,-0.4340,2.29700,0.39200,-0.39200,1.5310e+02,1.940e+01,-1.940e+01,1.17,3.500e-01,-1.300e-01,1280.0,,,633.57,556.45,-206.56,9.80,1,q1_q17_dr25_tce,5778.00,173.00,-208.00,4.480,0.065,-0.195,0.9350,0.2730,-0.1090,294.287780,40.692741,15.668
5460835,K06580.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,21.539269242,1.1840000e-06,-1.1840000e-06,144.1542761,4.440000e-05,-4.440000e-05,0.9080,0.0140,-0.0160,5.32432,0.00192,-0.00192,1.4375e+05,3.700e+01,-3.700e+01,53.00,1.619e+01,-5.400e+00,674.0,,,48.89,43.76,-14.39,2642.20,1,q1_q17_dr25_tce,6136.00,165.00,-202.00,4.487,0.054,-0.202,0.9330,0.2850,-0.0950,295.296910,40.661560,14.293
5462901,K06581.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,5.270733213,1.0380000e-06,-1.0380000e-06,136.1808530,1.690000e-04,-1.690000e-04,0.4280,1.1660,-0.1280,2.78220,0.03520,-0.03520,2.9364e+05,1.334e+03,-1.334e+03,37.93,2.010e+00,-3.470e+00,693.0,,,54.59,14.81,-16.03,553.00,1,q1_q17_dr25_tce,4348.00,151.00,-166.00,4.601,0.053,-0.021,0.6780,0.0360,-0.0620,295.755550,40.618660,15.953
5466109,K06582.01,,CANDIDATE,CANDIDATE,0.7860,0,0,0,0,2.431355420,1.5000000e-05,-1.5000000e-05,133.9207700,5.500000e-03,-5.500000e-03,0.1200,0.3420,-0.1200,1.40100,0.15500,-0.15500,1.2360e+02,1.630e+01,-1.630e+01,1.07,3.300e-01,-1.100e-01,1422.0,,,965.40,863.66,-292.75,9.30,1,q1_q17_dr25_tce,6231.00,169.00,-225.00,4.488,0.052,-0.208,0.9550,0.2910,-0.0970,296.471800,40.681622,15.225
5471010,K06583.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,1,12.423215800,4.9900000e-04,-4.9900000e-04,141.7294000,4.790000e-02,-4.790000e-02,0.2450,1.0890,-0.2450,17.67000,3.90000,-3.90000,2.6150e+02,2.410e+01,-2.410e+01,1.30,2.800e-01,-1.200e-01,685.0,,,51.91,34.48,-14.50,23.60,1,q1_q17_dr25_tce,5497.00,164.00,-180.00,4.577,0.034,-0.145,0.8090,0.1750,-0.0750,297.547060,40.615742,15.639
6447326,K06711.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,0,4.320693300,2.2150000e-04,-2.2150000e-04,131.8905000,5.070000e-02,-5.070000e-02,0.9730,0.0040,-0.0100,50.68000,2.50000,-2.50000,1.4790e+02,8.100e+00,-8.100e+00,1.66,5.000e-01,-2.000e-01,1205.0,,,499.09,455.85,-166.53,35.70,1,q1_q17_dr25_tce,6225.00,185.00,-222.00,4.450,0.062,-0.200,1.0310,0.3140,-0.1260,293.268740,41.850719,15.604
6448768,K06712.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,16.486796364,1.0640000e-06,-1.0640000e-06,131.6041706,5.240000e-05,-5.240000e-05,0.3090,0.0190,-0.0010,7.06797,0.00222,-0.00222,4.8943e+04,1.930e+01,-1.930e+01,46.92,6.950e+00,-1.392e+01,1053.0,,,290.46,113.57,-154.34,3181.50,1,q1_q17_dr25_tce,6020.00,81.00,-81.00,3.860,0.224,-0.096,2.0970,0.3110,-0.6220,293.721830,41.873131,13.645
