kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11599937,K05915.01,,CANDIDATE,CANDIDATE,0.0240,0,0,0,0,37.625903900,4.2190000e-04,-4.2190000e-04,167.2207200,7.150000e-03,-7.150000e-03,0.4900,0.4440,-0.2850,3.91000,0.25600,-0.25600,4.1100e+02,4.170e+01,-4.170e+01,1.81,4.800e-01,-1.700e-01,519.0,,,17.13,13.14,-4.56,11.70,1,q1_q17_dr25_tce,5874.00,141.00,-177.00,4.542,0.034,-0.184,0.8710,0.2330,-0.0780,285.459170,49.661942,15.013
11600299,K05916.01,,CANDIDATE,CANDIDATE,,0,0,0,0,100.414751980,,,134.1167095,,,,,,1.72000,,,,,,,,,,,,,,,,1,q1_q16_tce,,,,,,,,,,285.691100,49.690311,12.124
11601425,K05917.01,,CANDIDATE,CANDIDATE,0.7990,0,0,0,0,41.993467300,4.9720000e-04,-4.9720000e-04,143.8929700,9.160000e-03,-9.160000e-03,0.0460,0.4190,-0.0460,3.22600,0.37800,-0.37800,2.9370e+02,3.800e+01,-3.800e+01,1.56,4.600e-01,-1.600e-01,503.0,,,15.19,13.30,-4.28,9.40,1,q1_q17_dr25_tce,5766.00,156.00,-173.00,4.498,0.050,-0.200,0.9150,0.2730,-0.0910,286.356200,49.690128,14.847
11601633,K05918.01,,CANDIDATE,CANDIDATE,,0,0,0,0,94.677820000,6.5660000e-03,-6.5660000e-03,187.4731000,3.710000e-02,-3.710000e-02,0.3614,0.1712,-0.3612,2.21500,0.50700,-0.50700,2.8700e+02,9.010e+01,-9.010e+01,1.46,5.100e-01,-1.300e-01,353.0,,,3.67,3.86,-0.93,5.90,1,q1_q16_tce,5360.00,169.00,-138.00,4.503,0.057,-0.228,0.8660,0.3000,-0.0780,286.496860,49.614578,14.258
11601972,K05919.01,,CANDIDATE,CANDIDATE,0.1850,0,0,0,0,290.196139000,5.6280000e-03,-5.6280000e-03,264.8759000,1.190000e-02,-1.190000e-02,0.0170,0.4320,-0.0170,13.69800,0.51800,-0.51800,2.8100e+02,2.010e+01,-2.010e+01,2.35,7.700e-01,-5.000e-01,341.0,,,3.20,3.14,-1.51,15.70,1,q1_q17_dr25_tce,6238.00,195.00,-239.00,4.224,0.162,-0.198,1.4030,0.4530,-0.3020,286.732450,49.683189,13.511
11603298,K05920.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,471.396980000,2.1990000e-02,-2.1990000e-02,247.0802000,2.420000e-02,-2.420000e-02,0.3379,0.1274,-0.3379,10.71400,0.77300,-0.77300,3.2990e+02,3.340e+01,-3.340e+01,1.87,6.500e-01,-1.700e-01,265.0,,,1.16,1.16,-0.31,13.10,1,q1_q16_tce,6587.00,156.00,-197.00,4.463,0.045,-0.256,1.0080,0.3530,-0.0880,287.651610,49.686501,13.731
11614808,K05921.01,,CANDIDATE,CANDIDATE,,0,0,0,0,175.452812000,3.9080000e-03,-3.9080000e-03,204.8241000,2.120000e-02,-2.120000e-02,0.1526,0.3334,-0.1526,2.73400,0.65500,-0.65500,1.4180e+02,3.020e+01,-3.020e+01,3.96,1.400e+00,-2.240e+00,591.0,,,28.77,31.13,-24.09,6.10,1,q1_q16_tce,6184.00,198.00,-226.00,3.580,0.546,-0.208,3.3040,1.1720,-1.8680,293.960270,49.619312,13.086
11615258,K05922.01,,CANDIDATE,CANDIDATE,0.0000,0,0,0,0,367.074460000,1.9500000e-02,-1.9500000e-02,182.8380000,4.140000e-02,-4.140000e-02,0.0930,0.3710,-0.0930,5.88700,0.98900,-0.98900,3.6830e+02,7.090e+01,-7.090e+01,2.15,7.100e-01,-2.400e-01,287.0,,,1.59,1.55,-0.48,6.60,1,q1_q17_dr25_tce,6315.00,168.00,-205.00,4.407,0.067,-0.216,1.1160,0.3700,-0.1230,294.157750,49.614971,14.666
11615521,K05923.01,,CANDIDATE,CANDIDATE,,0,0,0,0,366.684634000,6.6680000e-03,-6.6680000e-03,315.0914300,9.320000e-03,-9.320000e-03,0.5294,0.4048,-0.3309,3.28400,0.34600,-0.34600,4.5630e+02,6.000e+01,-6.000e+01,10.75,4.470e+00,-4.810e+00,444.0,,,9.18,11.21,-6.80,9.10,1,q1_q16_tce,5090.00,132.00,-205.00,3.353,0.327,-0.260,4.9620,2.0620,-2.2210,294.271820,49.633869,13.026
11616434,K05924.01,,CANDIDATE,CANDIDATE,,0,0,0,0,291.306507000,5.5530000e-03,-5.5530000e-03,362.2906000,1.210000e-02,-1.210000e-02,0.3377,0.1493,-0.3377,2.91000,0.47400,-0.47400,1.1320e+03,1.840e+02,-1.840e+02,2.49,3.800e-01,-2.400e-01,219.0,,,0.54,0.27,-0.15,7.10,1,q1_q16_tce,5031.00,162.00,-131.00,4.548,0.062,-0.107,0.7480,0.1130,-0.0730,294.690860,49.626991,15.789
11651240,K05925.01,,CANDIDATE,CANDIDATE,,0,0,0,0,93.006000000,2.2150000e-03,-2.2150000e-03,144.3600000,2.210000e-02,-2.210000e-02,0.4428,0.0283,-0.4426,2.46100,0.86800,-0.86800,1.2540e+02,2.970e+01,-2.970e+01,1.97,1.020e+00,-7.800e-01,503.0,,,15.18,24.12,-10.19,6.70,1,q1_q16_tce,5518.00,167.00,-131.00,3.973,0.391,-0.264,1.7420,0.8990,-0.6940,285.408420,49.763641,12.979
11652427,K05926.01,,CANDIDATE,CANDIDATE,,0,0,0,0,26.462880740,,,133.4096502,,,,,,1.40000,,,,,,,,,,,,,,,,1,q1_q16_tce,,,,,,,,,,286.171050,49.710320,13.023
11654039,K05927.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,436.428520000,2.4020000e-02,-2.4020000e-02,452.2705000,4.110000e-02,-4.110000e-02,0.3772,0.0804,-0.3772,13.80000,1.90000,-1.90000,1.6390e+02,2.210e+01,-2.210e+01,1.26,5.000e-01,-1.300e-01,245.0,,,0.86,1.00,-0.24,9.20,1,q1_q16_tce,5997.00,148.00,-170.00,4.466,0.054,-0.285,0.9710,0.3900,-0.0960,287.298460,49.703049,13.298
11674709,K05928.01,,CANDIDATE,CANDIDATE,0.4670,0,0,0,0,20.699207370,,,132.7199526,,,,,,2.17000,,,,,,,,,,,,,,,,2,q1_q17_dr25_tce,,,,,,,,,,297.745670,49.707630,11.957
11716643,K05929.01,,CANDIDATE,CANDIDATE,0.9390,0,0,0,0,466.002988000,3.1450000e-03,-3.1450000e-03,435.0115600,4.660000e-03,-4.660000e-03,0.8670,0.0380,-0.4110,10.27800,0.59900,-0.59900,2.3636e+03,6.430e+01,-6.430e+01,4.92,1.320e+00,-4.300e-01,223.0,,,0.58,0.45,-0.15,42.30,1,q1_q17_dr25_tce,5830.00,140.00,-175.00,4.540,0.035,-0.184,0.8760,0.2340,-0.0780,293.865260,49.800289,14.692
11722217,K05930.01,,CANDIDATE,CANDIDATE,,0,0,0,0,302.775710000,8.6560000e-03,-8.6560000e-03,323.5739000,2.070000e-02,-2.070000e-02,0.1265,0.3335,-0.1262,3.18300,0.96200,-0.96200,1.1060e+03,2.370e+02,-2.370e+02,1.00,3.300e-01,-1.700e-01,106.0,,,0.03,0.03,-0.01,7.10,1,q1_q16_tce,3358.00,79.00,-72.00,4.944,0.060,-0.140,0.3030,0.1000,-0.0500,296.252500,49.886559,15.755
11773174,K05931.01,,CANDIDATE,CANDIDATE,,0,0,0,0,115.199529220,,,218.1108918,,,,,,2.67000,,,,,,,,,,,,,,,,1,q1_q16_tce,,,,,,,,,,296.554690,49.958092,11.794
11803074,K05932.01,,CANDIDATE,CANDIDATE,0.9020,0,0,0,0,355.861340000,1.7290000e-02,-1.7290000e-02,358.0075000,3.180000e-02,-3.180000e-02,0.0030,0.4330,-0.0030,23.39000,1.50000,-1.50000,1.2207e+03,9.260e+01,-9.260e+01,2.79,7.400e-01,-2.500e-01,233.0,,,0.70,0.54,-0.18,15.20,1,q1_q17_dr25_tce,5736.00,155.00,-155.00,4.576,0.042,-0.168,0.8010,0.2120,-0.0710,285.337830,50.066132,15.887
11807906,K05933.01,,CANDIDATE,CANDIDATE,,0,0,0,0,236.506437000,3.3750000e-03,-3.3750000e-03,361.9687000,1.120000e-02,-1.120000e-02,0.1474,0.3101,-0.1474,5.00400,0.43100,-0.43100,7.4440e+02,8.700e+01,-8.700e+01,10.37,5.080e+00,-3.220e+00,480.0,,,12.54,17.82,-7.26,10.60,1,q1_q16_tce,5066.00,112.00,-152.00,3.414,0.240,-0.303,3.9000,1.9080,-1.2100,288.436650,50.075722,13.856
11811382,K05934.01,,CANDIDATE,CANDIDATE,,0,0,0,0,19.385489400,6.3560000e-04,-6.3560000e-04,142.3485900,5.120000e-03,-5.120000e-03,0.0074,0.5030,-0.0073,1.03100,0.23800,-0.23800,4.5600e+03,1.128e+03,-1.128e+03,6.13,2.970e+00,-8.300e-01,632.0,,,37.73,56.56,-12.21,2.70,1,q1_q17_dr24_tce,5432.00,172.00,-133.00,4.420,0.122,-0.314,0.9130,0.4430,-0.1240,290.363650,50.052608,13.891
11818566,K05935.01,,CANDIDATE,CANDIDATE,,0,0,0,0,416.878931210,,,227.5106644,,,,,,4.45000,,,,,,,,,,,,,,,,1,q1_q16_tce,,,,,,,,,,294.206300,50.045399,15.690
11819396,K05936.01,,CANDIDATE,CANDIDATE,,0,0,0,0,48.387984130,,,176.4653521,,,,,,1.23000,,,,,,,,,,,,,,,,1,q1_q16_tce,,,,,,,,,,294.567380,50.069721,15.025
11824578,K05937.01,,CANDIDATE,CANDIDATE,,0,0,0,0,357.588538000,6.4620000e-03,-6.4620000e-03,250.4138000,1.080000e-02,-1.080000e-02,0.1542,0.3024,-0.1539,3.36700,0.44100,-0.44100,3.4480e+02,5.180e+01,-5.180e+01,3.53,1.950e+00,-7.100e-01,420.0,,,7.38,12.76,-3.41,7.20,1,q1_q16_tce,7435.00,240.00,-311.00,4.082,0.123,-0.318,1.8760,1.0320,-0.3780,296.755400,50.055271,13.382
11860294,K05938.01,,CANDIDATE,CANDIDATE,,0,0,0,0,545.205601000,7.3260000e-03,-7.3260000e-03,237.2409100,8.570000e-03,-8.570000e-03,0.3515,0.0941,-0.3514,3.29600,0.32900,-0.32900,1.9970e+02,2.760e+01,-2.760e+01,1.66,1.000e+00,-2.200e-01,257.0,,,1.03,1.92,-0.36,7.10,1,q1_q16_tce,6273.00,168.00,-229.00,4.345,0.094,-0.334,1.1550,0.7000,-0.1490,289.653470,50.128010,12.812
11868941,K05939.01,,CANDIDATE,CANDIDATE,,0,0,0,0,105.053389000,1.6210000e-03,-1.6210000e-03,208.7282000,1.630000e-02,-1.630000e-02,0.2199,0.2964,-0.2196,1.98800,0.44000,-0.44000,1.7670e+02,4.150e+01,-4.150e+01,1.52,7.800e-01,-1.700e-01,449.0,,,9.61,14.56,-2.97,5.80,1,q1_q16_tce,6471.00,153.00,-218.00,4.392,0.063,-0.308,1.1300,0.5800,-0.1240,294.352750,50.185989,13.724
11905398,K05940.01,,CANDIDATE,CANDIDATE,0.3830,0,0,0,0,24.796729400,3.4390000e-04,-3.4390000e-04,131.9100000,1.190000e-02,-1.190000e-02,0.9520,6.8380,-0.0330,4.27800,0.40100,-0.40100,9.7050e+02,8.540e+01,-8.540e+01,3.14,6.200e-01,-2.600e-01,537.0,,,19.62,12.17,-5.35,13.80,1,q1_q17_dr25_tce,5496.00,174.00,-194.00,4.592,0.040,-0.120,0.7760,0.1520,-0.0650,286.489870,50.230068,15.627
11910670,K05941.01,,CANDIDATE,CANDIDATE,,0,0,0,0,44.706019100,1.8750000e-04,-1.8750000e-04,154.4028200,3.410000e-03,-3.410000e-03,1.6552,6.2200,-1.6460,0.25000,0.21600,-0.21600,2.9200e+02,5.670e+01,-5.670e+01,60.47,6.875e+01,-7.530e+00,465.0,,,11.01,46.29,-3.49,6.60,1,q1_q16_tce,5509.00,183.00,-156.00,4.482,0.104,-0.620,0.8110,0.9220,-0.1010,289.651520,50.282619,13.783
11911929,K05942.01,,CANDIDATE,CANDIDATE,,0,0,0,0,125.277815000,3.0230000e-03,-3.0230000e-03,170.8865000,1.560000e-02,-1.560000e-02,0.1310,0.3174,-0.1308,4.44200,0.43900,-0.43900,4.3230e+02,4.600e+01,-4.600e+01,15.75,1.050e+00,-3.970e+00,799.0,,,96.53,20.33,-49.37,11.00,1,q1_q16_tce,5119.00,79.00,-171.00,2.961,0.028,-0.032,7.7380,0.5190,-1.9490,290.368900,50.270550,13.325
11923213,K05943.01,,CANDIDATE,CANDIDATE,0.4000,0,0,0,0,27.202067200,2.5330000e-04,-2.5330000e-04,151.8660600,8.010000e-03,-8.010000e-03,0.2230,0.2240,-0.2230,1.81100,0.24800,-0.24800,1.8030e+02,2.480e+01,-2.480e+01,1.87,3.300e-01,-3.600e-01,719.0,,,63.31,29.08,-24.30,8.70,1,q1_q17_dr25_tce,5869.00,79.00,-79.00,4.175,0.162,-0.108,1.3960,0.2460,-0.2700,296.204590,50.236328,14.172
11924426,K05944.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,64.713168094,3.1830000e-06,-3.1830000e-06,171.3677102,3.860000e-05,-3.860000e-05,0.5730,0.0110,-0.0120,5.69869,0.00103,-0.00103,3.1297e+05,3.420e+01,-3.420e+01,62.03,1.841e+01,-7.900e+00,482.0,,,12.80,11.12,-4.17,3582.50,1,q1_q17_dr25_tce,6175.00,166.00,-185.00,4.440,0.084,-0.196,0.9740,0.2890,-0.1240,296.703830,50.281551,13.882
11959893,K05945.01,,CANDIDATE,CANDIDATE,,0,0,0,0,40.728231400,6.9080000e-04,-6.9080000e-04,162.1513000,1.540000e-02,-1.540000e-02,0.9828,0.0248,-0.0093,13.67700,0.61800,-0.61800,2.2180e+02,1.350e+01,-1.350e+01,4.58,1.680e+00,-1.520e+00,829.0,,,111.83,120.45,-69.84,19.40,1,q1_q16_tce,6531.00,179.00,-273.00,3.936,0.250,-0.218,2.2310,0.8150,-0.7420,289.583560,50.348137,12.717
